title,author,coverUrl,openLibraryId,url
"A Rage in Harlem","Chester Himes","https://books.google.com/books/content?id=n1cSAQAAMAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api","",""
"A Second Chance","Shayne Parkinson","https://covers.openlibrary.org/b/id/10239211-L.jpg","OL20901146W","https://openlibrary.org/works/OL20901146W"
"A Separate Peace","John Knowles","https://covers.openlibrary.org/b/id/370384-L.jpg","OL4324502W","https://openlibrary.org/works/OL4324502W"
"A Storm of Swords","George R.R. Martin","https://covers.openlibrary.org/b/id/15124196-L.jpg","OL257914W","https://openlibrary.org/works/OL257914W"
"A Stranger on the Beach","Michele Campbell","https://books.google.com/books/content?id=to1xDwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"A Suitable Boy","Vikram Seth","https://books.google.com/books/content?id=yxLp8VwXpZgC&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"A Tale of Two Cities","Charles Dickens","https://covers.openlibrary.org/b/id/8493695-L.jpg","",""
"A Talent for Murder","Peter  Swanson","https://covers.openlibrary.org/b/id/14631023-L.jpg","",""
"A Thousand Ships","Natalie Haynes","https://covers.openlibrary.org/b/id/10582386-L.jpg","",""
"A Thousand Splendid Suns","Khaled Hosseini","https://books.google.com/books/content?id=uc-fS0Lkdq8C&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"A Tip for the Hangman","Allison Epstein","https://covers.openlibrary.org/b/id/12739900-L.jpg","",""
"A Torch Against the Night","Sabaa Tahir","https://covers.openlibrary.org/b/id/8904785-L.jpg","OL20033776W","https://openlibrary.org/works/OL20033776W"
"A Tree Grows in Brooklyn","Betty  Smith","https://covers.openlibrary.org/b/id/14559633-L.jpg","",""
"A Twist in the Tale","Jeffrey Archer","https://covers.openlibrary.org/b/id/183809-L.jpg","",""
"A Very Large Expanse of Sea","Tahereh Mafi","https://covers.openlibrary.org/b/id/9242462-L.jpg","",""
"A Woman Is No Man","Etaf Rum","https://covers.openlibrary.org/b/id/8797803-L.jpg","",""
"A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II","Sonia Purnell","https://books.google.com/books/content?id=LJBfDwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"A Wrinkle in Time","Madeleine L'Engle","https://covers.openlibrary.org/b/id/15166378-L.jpg","",""
"A ​Court of Silver Flames","Sarah J. Maas","https://covers.openlibrary.org/b/id/10643508-L.jpg","OL21703979W","https://openlibrary.org/works/OL21703979W"
"About the Night","Anat Talshir","https://covers.openlibrary.org/b/id/10294456-L.jpg","OL20922739W","https://openlibrary.org/works/OL20922739W"
"Absolution","Alice McDermott","https://covers.openlibrary.org/b/id/14398992-L.jpg","",""
"Accidental Presidents: Eight Men Who Changed America","Jared Cohen","https://covers.openlibrary.org/b/id/8798529-L.jpg","",""
"Across Both Sides of the Mirror","Bianca Pensy Aba","https://covers.openlibrary.org/b/isbn/9798218153724-L.jpg","",""
