title,author,isbn,openLibraryId,url
"Anxious People","Fredrik Backman","","OL20793817W","https://openlibrary.org/works/OL20793817W"
"Apeirogon","Colum McCann","","OL22163654W","https://openlibrary.org/works/OL22163654W"
"Are You There God? It’s Me, Margaret","Judy Blume","0689841582","",""
"Arianna Rose","Jennifer Martucci","","OL20343565W","https://openlibrary.org/works/OL20343565W"
"Ask Again, Yes","Mary Beth Keane","1982106980","",""
"Assuming Names: A Con Artist's Masquerade","Tanya Thompson","1311789782","",""
"At Night We Walk in Circles","Daniel Alarcón","1594631719","",""
"At the End of Every Day","Arianna  Reiche","1668007940","",""
"Atlas Shrugged","Ayn Rand","0452011876","",""
"Atonement","Ian McEwan","","OL1855944W","https://openlibrary.org/works/OL1855944W"
"Awake at Dawn","C.C. Hunter","0312624689","",""
"Awakening","Cate Tiernan","0142300454","",""
"Baby Teeth","Zoje Stage","1250170753","OL19763915W","https://openlibrary.org/works/OL19763915W"
"Bad Blood: Secrets and Lies in a Silicon Valley Startup","John Carreyrou","","OL27695113W","https://openlibrary.org/works/OL27695113W"
"Be the Girl","K.A. Tucker","","OL34559409W","https://openlibrary.org/works/OL34559409W"
"Beach Read","Emily Henry","1984806734","",""
"Beartown","Neil Smith","","",""
"Because of Winn-Dixie","Kate DiCamillo","0763616052","",""
"Becoming","Michelle Obama","1524763136","",""
"Becoming Free Indeed: My Story of Disentangling Faith from Fear","Jinger Duggar Vuolo","","",""
"Before I Fall","Lauren Oliver","0061726818","",""
"Before We Were Innocent","Ella Berman","","OL28732666W","https://openlibrary.org/works/OL28732666W"
"Before, During, After","Richard Bausch","0307266265","",""
"Behind Closed Doors","B.A. Paris","1250121000","",""
"Being Mortal: Medicine and What Matters in the End","Atul Gawande","0805095152","",""
"Belle Cora","Phillip Margulies","0385532768","",""
"Beowulf","Unknown","0393320979","OL38944809W","https://openlibrary.org/works/OL38944809W"
"Better the Blood","Michael  Bennett","0802160603","",""
"Between Cases","W.R. Gingell","","",""
"Between Decisions","W.R. Gingell","","",""
"Between Family","W.R. Gingell","","",""
"Between Floors","W.R. Gingell","","OL24635786W","https://openlibrary.org/works/OL24635786W"
"Between Frames","W.R. Gingell","","",""
"Between Homes","W.R. Gingell","","",""
"Between Jobs","W.R. Gingell","","",""
"Between Kings","W.R. Gingell","","",""
"Between Shifts","W.R. Gingell","","OL33037640W","https://openlibrary.org/works/OL33037640W"
"Between Walls","W.R. Gingell","","",""
"Between You and Me","Lisa    Hall","0008181233","",""
"Beyond the Wand: The Magic & Mayhem of Growing Up a Wizard","Tom Felton","1538741369","",""
"Big Little Lies","Liane Moriarty","0399167064","",""
"Bitter Spirits","Jenn Bennett","0425269574","",""
"Black Magic Sanction","Kim Harrison","0061138037","",""
"Bless Your Heart","Kimbra Swain","","OL20213321W","https://openlibrary.org/works/OL20213321W"
"Blood Bound","Patricia Briggs","0441014739","",""
"Blood Cross","Faith Hunter","0451463072","",""
"Blood Heir","Amélie Wen Zhao","0525707794","",""
"Blood Sugar","Sascha Rothchild","0593331540","",""
"Bloodline Gypsy","Shirley Martin","","OL30253981W","https://openlibrary.org/works/OL30253981W"
"Bloodline Gypsy: Jook and Gypsies","Shirley A. Martin","","",""
"Blue Lily, Lily Blue","Maggie Stiefvater","0545424968","",""
"Bone Crossed","Patricia Briggs","1841496863","",""
"Born of Fire","Sherrilyn Kenyon","0749908785","",""
"Born of Night","Sherrilyn Kenyon","1429959908","OL16076186W","https://openlibrary.org/works/OL16076186W"
"Bossypants","Tina Fey","","OL15703704W","https://openlibrary.org/works/OL15703704W"
"Bread and Jam for Frances (Frances the Badger)","Russell Hoban","0064430960","",""
"Breaking Dawn","Stephenie Meyer","","OL5720022W","https://openlibrary.org/works/OL5720022W"
"Bridge to Terabithia","Katherine Paterson","0439366771","",""
"Bright We Burn","Kiersten White","0553522418","OL19748557W","https://openlibrary.org/works/OL19748557W"
"Brisingr","Christopher Paolini","0375826726","",""
"Brooke Shields Is Not Allowed to Get Old: Thoughts on Aging as a Woman","Brooke Shields","","",""
"Bullet","Laurell K. Hamilton","0425234339","",""
"Burying Water","K.A. Tucker","1476774188","",""
"But Not the Hippopotamus","Sandra Boynton","0671449044","",""
"By Any Other Name","Jodi Picoult","","OL37569397W","https://openlibrary.org/works/OL37569397W"
"Caraval","Stephanie Garber","1250095255","",""
"Carry On, Warrior: Thoughts on Life Unarmed","Glennon Doyle","1451697244","",""
"Case Study","Graeme Macrae Burnet","1913393194","",""
"Caste: The Origins of Our Discontents","Isabel Wilkerson","0593230256","",""
"Cat Person","Kristen Roupenian","","OL20559430W","https://openlibrary.org/works/OL20559430W"
"Catching Fire","Suzanne Collins","0439023491","",""
"Catherine the Great: Portrait of a Woman","Robert K. Massie","0679456724","",""
"Celine","Peter Heller","1524751065","",""
"Chaos Walking: A Trilogy","Patrick Ness","1406334332","",""
"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties","Tom O'Neill","0316477575","",""
"Charlotte’s Web","Garth Williams","0064410935","",""
"Chasing Harry Winston","Lauren Weisberger","0743290119","",""
"ChatGPT for Nonfiction Authors: How to Use ChatGPT to Write Better, Faster, and More Effectively (Tips that help you generate ideas, research topics, and maximize your productivity; GPT-4.5 Update)","Hassan Osman","","",""
"Children of Blood and Bone","Tomi Adeyemi","1250170982","",""
"Children of the Night: A Novel","T.C Paul","","",""
"Choosing Civility","P.M. Forni","0312302509","",""
"Chosen","Denise Grover Swank","1463692463","",""
"Cinder","Marissa Meyer","0312641893","",""
"Circe","Madeline Miller","0316556343","",""
"Citizen Hearst: A Biography of William Randolph Hearst","W.A. Swanberg","0883659700","",""
"City of Fallen Angels","Cassandra Clare","1442403543","",""
"Clade","James  Bradley","","OL21095792W","https://openlibrary.org/works/OL21095792W"
"Clockwise","Elle Strauss","0987807838","OL24326082W","https://openlibrary.org/works/OL24326082W"
"Clockwiser","Elle Strauss","0987807862","OL24326082W","https://openlibrary.org/works/OL24326082W"
"Closer Home","Kerry Anne King","","OL20249649W","https://openlibrary.org/works/OL20249649W"
"Columbine","Dave Cullen","0446546933","",""
"Conditional Citizens: On Belonging in America","Laila Lalami","1524747165","",""
"Confessions on the 7:45","Lisa Unger","0778310159","",""
"Conversations with God","Neale Donald Walsch","0399142789","",""
"Crank","Ellen Hopkins","0689865198","",""
"Crimes Against Magic","Steve McHugh","","OL22057696W","https://openlibrary.org/works/OL22057696W"
"Crooked Kingdom","Leigh Bardugo","","OL17597665W","https://openlibrary.org/works/OL17597665W"
"Cry Wolf","Patricia Briggs","0441016154","",""
