title,author,isbn,openLibraryId,url,description
""A Portrait of the Artist as a Young Man"",""James Joyce"",""0142437344"","""","""","Stephen Dedalus grows up in Dublin, feeling different from the other boys. His childhood and adolescence are shaped by bullying, his father's weaknesses and the growing realization that in order to make his way in the world he must reject a conventional life and boecome an artist.

Penguin Popular Classics are the perfect introduction to the world-famous Penguin Classics series — which encompasses the best books ever written, from Homer's Odyssey to Orwell's 1984 and everything in between."
""A Prayer for Owen Meany"",""John Irving"",""0552135399"","""","""","""I am doomed to remember a boy with a wrecked voice - not because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mother's death, but because he is the reason I believe in God; I am a Christian because of Owen Meany."" So begins John Irving's new novel.

In the summer of 1953, two eleven-year-old boys - best friends - are playing ina Little League baseball game in Gravesend , New Hampshire; one of the boys hits a foul ball that kills his best friend's mother. The boy who hit the ball doesn't believe in accidents; Owen Meany believes he is God's instrument. What happens to Owen - after that 1953 fould ball - is extraordinary and terrifying.
(front flap)"
""A Predator and A Psychopath"",""Jay Kerk"","""",""OL29983080W"",""https://openlibrary.org/works/OL29983080W"",
""A Quest of Heroes"",""Morgan Rice"","""",""OL17046858W"",""https://openlibrary.org/works/OL17046858W"",
""A Second Chance"",""Shayne Parkinson"",""1452303878"",""OL20901146W"",""https://openlibrary.org/works/OL20901146W"",
""A Separate Peace"",""John Knowles"","""",""OL4324502W"",""https://openlibrary.org/works/OL4324502W"",
""A Stranger on the Beach"",""Michele Campbell"",""1250202531"","""","""",
""A Talent for Murder"",""Peter  Swanson"",""0063205033"","""","""",
""A Tip for the Hangman"",""Allison Epstein"",""0385546718"","""","""","""England, 1585. In Kit Marlowe's last year at Cambridge, he receives an unexpected visitor: Queen Elizabeth's spymaster, who has come with an unorthodox career opportunity. Her Majesty's spies are in need of new recruits, and Kit's flexible moral compass has drawn their attention. Kit, a scholarship student without money or prospects, accepts the offer, and after his training the game is on. Kit is dispatched to the chilly manor where Mary, Queen of Scots is under house arrest, to act as a servant in her household and keep his ear to the ground for a Catholic plot to put Mary on the throne.While observing Mary, Kit learns more than he bargained for. The ripple effects of his service to the Crown are far-reaching and leave Kit a changed man. But there are benefits as well. The salary he earns through his spywork allows him to mount his first play, and over the following years, he becomes the toast of London's raucous theater scene. But when Kit finds himself reluctantly drawn back into the uncertain world of espionage, conspiracy, and high treason, he realizes everything he's worked so hard to attain - including the trust of the man he loves - could vanish before his very eyes.""--Provided by publisher."
""A Torch Against the Night"",""Sabaa Tahir"","""",""OL20033776W"",""https://openlibrary.org/works/OL20033776W"",
""A Twist in the Tale"",""Jeffrey Archer"",""0312933525"","""","""",
""A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II"",""Sonia Purnell"","""","""","""",
""A Year in the Life of Leah Brand"",""Lucinda E. Clarke"","""","""","""",
